"Problem_Type","Instance_Type","Instance_ID","Correlation","Objectives","Variables","Constraints","Sparsity","Algorithm","Type_of_Operation","MIP_Emphasis","Type_of_Boost","Cplex_Heur","Parallelism","Total_Threads","Thread_ID","Master_Time","Slave_Time","IP_Solved","Num_Non_Dom_Pts","Num_Non_Dom_Pts_Found"
"BOAP","Hadi","5dat.txt",0.0019336769586846374,2,40000,400,0.995,"BBM","lex_min",false,"NB",true,false,1,1,1263.5457520484924,0.0,1555.0,703.0,703.0
"BOAP","Hadi","5dat.txt",0.0019336769586846374,2,40000,400,0.995,"EBBM","augmented_operation",false,"NB",true,false,1,1,1249.4643800258636,0.0,712.0,703.0,703.0
"BOAP","Hadi","5dat.txt",0.0019336769586846374,2,40000,400,0.995,"EBBM","dynamic",false,"NB",true,false,1,1,1273.3752870559692,0.0,860.0,703.0,703.0
"BOAP","Hadi","5dat.txt",0.0019336769586846374,2,40000,400,0.995,"EBBM","lex_min",false,"NB",true,false,1,1,1046.5262458324432,0.0,1249.0,703.0,703.0
"BOAP","Hadi","5dat.txt",0.0019336769586846374,2,40000,400,0.995,"EBBM","lex_min",true,"NB",true,false,1,1,1020.5012769699097,0.0,1249.0,703.0,703.0
"BOAP","Hadi","5dat.txt",0.0019336769586846374,2,40000,400,0.995,"UDECM","augmented_operation",false,"NB",true,false,1,1,11067.393942117691,0.0,705.0,703.0,703.0
"BOAP","Hadi","5dat.txt",0.0019336769586846374,2,40000,400,0.995,"UDECM","dynamic",false,"NB",true,false,1,1,11066.387336969376,0.0,705.0,703.0,703.0
"BOAP","Hadi","5dat.txt",0.0019336769586846374,2,40000,400,0.995,"UDECM","lex_min",false,"NB",true,false,1,1,1459.969388961792,0.0,1406.0,703.0,703.0
"BOAP","Hadi","6dat.txt",-0.008784941267927244,2,40000,400,0.995,"BBM","lex_min",false,"NB",true,false,1,1,2933.8410789966583,0.0,3283.0,1508.0,1508.0
"BOAP","Hadi","6dat.txt",-0.008784941267927244,2,40000,400,0.995,"EBBM","augmented_operation",false,"NB",true,false,1,1,1656.8628919124603,0.0,1558.0,1508.0,1508.0
"BOAP","Hadi","6dat.txt",-0.008784941267927244,2,40000,400,0.995,"EBBM","dynamic",false,"NB",true,false,1,1,1874.7239921092987,0.0,1835.0,1508.0,1508.0
"BOAP","Hadi","6dat.txt",-0.008784941267927244,2,40000,400,0.995,"EBBM","lex_min",false,"NB",true,false,1,1,2617.9979050159454,0.0,2814.0,1508.0,1508.0
"BOAP","Hadi","6dat.txt",-0.008784941267927244,2,40000,400,0.995,"EBBM","lex_min",true,"NB",true,false,1,1,2573.3240530490875,0.0,2814.0,1508.0,1508.0
"BOAP","Hadi","6dat.txt",-0.008784941267927244,2,40000,400,0.995,"UDECM","augmented_operation",false,"NB",true,false,1,1,3327.199541091919,0.0,1510.0,1508.0,1508.0
"BOAP","Hadi","6dat.txt",-0.008784941267927244,2,40000,400,0.995,"UDECM","dynamic",false,"NB",true,false,1,1,3345.8931760787964,0.0,1510.0,1508.0,1508.0
"BOAP","Hadi","6dat.txt",-0.008784941267927244,2,40000,400,0.995,"UDECM","lex_min",false,"NB",true,false,1,1,3609.735895872116,0.0,3016.0,1508.0,1508.0
"BOAP","Hadi","7dat.txt",-0.007962246285358554,2,40000,400,0.995,"BBM","lex_min",false,"NB",true,false,1,1,2557.519593000412,0.0,2956.0,1362.0,1362.0
"BOAP","Hadi","7dat.txt",-0.007962246285358554,2,40000,400,0.995,"EBBM","augmented_operation",false,"NB",true,false,1,1,1494.6537840366364,0.0,1393.0,1362.0,1361.0
"BOAP","Hadi","7dat.txt",-0.007962246285358554,2,40000,400,0.995,"EBBM","dynamic",false,"NB",true,false,1,1,1628.3981819152832,0.0,1649.0,1362.0,1361.0
"BOAP","Hadi","7dat.txt",-0.007962246285358554,2,40000,400,0.995,"EBBM","lex_min",false,"NB",true,false,1,1,2251.2187700271606,0.0,2522.0,1362.0,1362.0
"BOAP","Hadi","7dat.txt",-0.007962246285358554,2,40000,400,0.995,"EBBM","lex_min",true,"NB",true,false,1,1,2248.7449419498444,0.0,2522.0,1362.0,1362.0
